id,name,availability,code_product,price,hrefs
1,"Игра Grand Theft Auto V (GTA 5) (PS5, русская версия)",Осталось мало,L09005,2649,https://igroray.ru/catalog/igra-grand-theft-auto-v-gta-5-ps5-russkaya-versiya/
2,"Игровая приставка Sony PlayStation 5 825 ГБ SSD (c приводом) (CFI-1200A, JP)",Есть в наличии,L08874,57890,https://igroray.ru/catalog/sony-playstation-5-jp/
3,Sony PlayStation VR2,Есть в наличии,L16143,53989,https://igroray.ru/catalog/sony-playstation-vr2/
4,Sony PlayStation 5 Spider-Man 2 Limited Edition + игра Marvel’s Spider-Man 2,Есть в наличии,L41831,75899,https://igroray.ru/catalog/sony-playstation-5-spider-man-2-limited-edition-igra-marvel-s-spider-man-2/
5,"Игровая приставка Sony PlayStation 5 825 ГБ SSD (c приводом) (CFI-1216A, EU)",Есть в наличии,L05524,61899,https://igroray.ru/catalog/sony-playstation-5-eu/
6,"Игровая приставка Sony PlayStation 5 Digital Edition 825 ГБ SSD (CFI-1200B, JP)",Есть в наличии,L09940,56599,https://igroray.ru/catalog/sony-playstation-5-digital-edition-jp/
7,"Игра FIFA 23 (PS4, русская версия)",Осталось мало,L10512,3680,https://igroray.ru/catalog/igra-fifa-23-ps4-russkaya-versiya/
8,"Игра God of War Ragnarok (PS4, русская версия)",Есть в наличии,L10122,5735,https://igroray.ru/catalog/igra-god-of-war-2-ragnarok-ps4-russkaya-versiya/
9,Геймпад Sony DualSense Edge,Есть в наличии,L15443,21589,https://igroray.ru/catalog/geympad-sony-dualsense-edge/
10,Геймпад Sony DualSense (белый),Осталось мало,L04483,9489,https://igroray.ru/catalog/geympad-sony-dualsense-belyy/
11,"Игра Red Dead Redemption 2 (RDR 2) (PS4, русская версия)",Осталось мало,L01541,2816,https://igroray.ru/catalog/igra-red-dead-redemption-2-ps4-russkaya-versiya/
12,"Игра Marvel's Spider Man 2 Collector's Edition (PS5, русская версия)",Есть в наличии,L63379,36800,https://igroray.ru/catalog/igra-marvel-s-spider-man-2-collector-s-edition-ps5/
13,"Игра Marvel's Spider Man 2 (PS5, русская версия)",Есть в наличии,L24784,7489,https://igroray.ru/catalog/igra-marvel-s-spider-man-2-ps5-russkie-subtitry/
14,"Игра God of War  Ragnarok (PS5, русская версия)",Есть в наличии,L04786,6296,https://igroray.ru/catalog/igra-god-of-war-ragnarok-ps5-russkaya-versiya/
15,"Игра EA Sports FC 24 (PS5, русская версия)",Есть в наличии,L41334,6489,https://igroray.ru/catalog/igra-ea-sports-fc-24-ps5-russkaya-versiya/
16,"Игра FIFA 23 (PS5, русская версия)",Осталось мало,L10539,3540,https://igroray.ru/catalog/igra-fifa-23-ps5-russkaya-versiya/
17,Игра Last of Us Part I (PS5),Есть в наличии,L09767,6581,https://igroray.ru/catalog/igra-last-of-us-part-i-ps5/
18,"Игра Horizon: Forbidden West (PS4, русская версия)",Осталось мало,L08226,4545,https://igroray.ru/catalog/igra-horizon-forbidden-west-ps4-russkaya-versiya/
19,Геймпад Sony DualSense (чёрная полночь),Есть в наличии,L06093,9606,https://igroray.ru/catalog/geympad-sony-dualsense-chyernaya-polnoch/
20,"Игра Marvel's Spider-Man Miles Morales (PS4, русская версия)",Осталось мало,L04573,4034,https://igroray.ru/catalog/igra-marvel-s-spider-man-miles-morales-ps4-russkaya-versiya/
21,"Игра Call of Duty: Black Ops Cold War (PS4, русская версия)",Есть в наличии,L04354,3362,https://igroray.ru/catalog/igra-call-of-duty-black-ops-cold-war-ps4-russkaya-versiya/
22,"Игра Call of Duty Modern Warfare III (3) (PS5, русская версия)",Есть в наличии,L42421,6790,https://igroray.ru/catalog/igra-call-of-duty-modern-warfare-iii-3-ps5-russkaya-versiya/
23,Sony PlayStation VR2 +  Игра Horizon Call of the Mountain,Есть в наличии,L15268,59999,https://igroray.ru/catalog/sony-playstation-vr2-igra-horizon-call-of-the-mountain/
24,"Игра Stray (PS5, русские субтитры)",Есть в наличии,L04576,3292,https://igroray.ru/catalog/igra-stray-ps5/
25,Игра The Quarry (PS5),Есть в наличии,L09445,3839,https://igroray.ru/catalog/igra-the-quarry-ps5/
26,Игра Teenage Mutant Ninja Turtles: Shredder's Revenge (PS4),Есть в наличии,L09667,3421,https://igroray.ru/catalog/igra-teenage-mutant-ninja-turtles-shredder-s-revenge-ps4/
27,Беспроводные наушники с микрофоном Sony PULSE 3D,Осталось мало,L04485,9699,https://igroray.ru/catalog/besprovodnaya-garnitura-sony-pulse-3d/
28,"Игра God of War Ragnarok (PS4, русские субтитры)",Есть в наличии,L13122,4719,https://igroray.ru/catalog/igra-god-of-war-2-ragnarok-ps4-russkie-subtitry/
29,"Игра Call of Duty: Modern Warfare II (COD:MW 2) (PS5, русская версия)",Осталось мало,L10538,6105,https://igroray.ru/catalog/igra-call-of-duty-modern-warfare-ii-cod-mw-2-ps5-russkaya-versiya/
30,Игра EA Sports UFC 5 (PS5),Есть в наличии,L42417,7021,https://igroray.ru/catalog/igra-ea-sports-ufc-5-ps5/
31,"Игра Mortal Kombat 11 (PS4, русская версия)",Есть в наличии,L03007,2644,https://igroray.ru/catalog/igra-mortal-kombat-11-ps4-russkaya-versiya/
32,"Игра Call of Duty: Black Ops Cold War (PS5, русская версия)",Есть в наличии,L04500,3717,https://igroray.ru/catalog/igra-call-of-duty-black-ops-cold-war-ps5-russkaya-versiya/
