id,name,operation,price,product_code,href
1,Смартфон Samsung Galaxy A54 5G (SM-A546) 8/256GB Graphite (графит),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2340×1080). 2K QHD. Super AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |2 nano SIM||Количество основных (тыловых) камер: |3| ",33990,Код товара: 2796376,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a54-5g-sm-a546-8-256gb-graphite-grafit/
2,Смартфон Apple iPhone 13 128GB Starlight (сияющая звезда),"||Операционная система: |IOS||Диагональ экрана: |6.1"" (2532x1170). Full HD. OLED||Емкость аккумулятора: |3240 мА⋅ч||SIM-карты: |Nano SIM+eSIM||Количество основных (тыловых) камер: |2| ",65990,Код товара: 2595636,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-13-128gb-starlight-siyayuschaya-zvezda/
3,Смартфон Samsung Galaxy A54 5G (SM-A546) 8/256GB Lavender (лаванда),||Операционная система: |Android||Диагональ экрана: |6.4||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |2 nano SIM||Количество основных (тыловых) камер: |3| ,33990,Код товара: 2800153,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a54-5g-sm-a546-8-256gb-lavender-lavanda/
4,Смартфон Xiaomi Redmi 12 8/256GB (NFC) (RU/A) Midnight Black (полночный черный),"||Операционная система: |Android||Диагональ экрана: |6.79"" (2400x1080). Full HD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",15490,Код товара: 2826764,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-12-8-256gb-nfc-ru-a-midnight-black-polnochnyiy-chernyiy/
5,Смартфон Apple iPhone 13 128GB Pink (розовый),"||Операционная система: |IOS||Диагональ экрана: |6.1"" (2532x1170). Full HD. OLED||Емкость аккумулятора: |3240 мА⋅ч||SIM-карты: |Nano SIM+eSIM||Количество основных (тыловых) камер: |2| ",65990,Код товара: 2595634,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-13-128gb-pink-rozovyiy/
6,Смартфон Apple iPhone 13 128GB Midnight (темная ночь),"||Операционная система: |IOS||Диагональ экрана: |6.1"" (2532x1170). Full HD. OLED||Емкость аккумулятора: |3240 мА⋅ч||SIM-карты: |Nano SIM+eSIM||Количество основных (тыловых) камер: |2| ",65990,Код товара: 2595635,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-13-128gb-midnight-temnaya-noch/
7,Смартфон realme C55 8/256GB Rainy Night (черный),"||Операционная система: |Android||Диагональ экрана: |6.72"" (2400x1080). Full HD. IPS||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |2| ",16490,Код товара: 2799724,https://www.niceprice62.ru/telefony/mobilnye-telefony/realme-c55-8-256gb-rainy-night-chernyiy/
8,Смартфон Apple iPhone 14 128GB Purple (фиолетовый),||Операционная система: |IOS||Диагональ экрана: |6.1||Емкость аккумулятора: |3279 мА⋅ч||SIM-карты: |Dual еSIM||Количество основных (тыловых) камер: |2| ,76990,Код товара: 2733357,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-14-128gb-purple-fioletovyiy/
9,Смартфон Xiaomi Redmi Note 12 Pro 4G 8/256GB (NFC) (Global Version) Blue (синий),"||Операционная система: |Android||Диагональ экрана: |6.67"" (2400x1080). Full HD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |4| ",24986,Код товара: 2823759,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-pro-4g-8-256gb-nfc-global-version-blue-siniy/
10,Смартфон Apple iPhone 14 128GB Midnight (темная ночь),||Операционная система: |IOS||Диагональ экрана: |6.1||Емкость аккумулятора: |3279 мА⋅ч||SIM-карты: |Dual: nano SIM + eSIM||Количество основных (тыловых) камер: |2| ,76990,Код товара: 2733356,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-14-128gb-midnight-temnaya-noch/
